,tract_id,RCAPorECAP,MajorityMinority,HispanicConcentration,BlackAfricanAmConcentration,AsianConcentration,PovertyConcentration,DisabledConcentration,LinguisticallyIsolatedConcentration,ForeignBornConcentration,census_id,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
179,23.04,NO,YES,YES,NO,NO,NO,NO,YES,YES,23.04,0.4625,0.0119,0.6919,0.8271,0.4198
180,23.07,NO,YES,NO,NO,NO,NO,NO,NO,YES,23.07,0.6413,0.0607,0.7067,0.7526,0.5647
181,23.08,NO,YES,NO,NO,NO,NO,NO,NO,NO,23.08,0.4698,0.0312,0.5825,0.9146,0.4883
182,23.1,YES,YES,YES,NO,NO,YES,NO,YES,YES,23.1,0.8348,0.5742,0.8708,0.7745,0.8397
183,23.12,YES,YES,YES,NO,NO,YES,NO,YES,YES,23.12,0.9639,0.6028,0.9279,0.9848,0.9777
184,23.13,NO,YES,NO,NO,NO,NO,NO,NO,NO,23.13,0.6459,0.1125,0.7445,0.8275,0.6274
185,23.14,NO,YES,NO,NO,NO,NO,NO,NO,YES,23.14,0.5920000000000001,0.0998,0.6466,0.8657,0.5929
186,23.15,NO,YES,YES,NO,NO,NO,NO,YES,YES,23.15,0.5822,0.0255,0.7977,0.7935,0.5236
187,23.16,YES,YES,YES,NO,NO,YES,NO,YES,YES,23.16,0.6984,0.1037,0.8490000000000001,0.7340000000000001,0.6407
188,23.17,YES,YES,NO,NO,NO,YES,NO,NO,NO,23.17,0.7969,0.0027,0.6119,0.5358,0.4248
189,23.18,YES,YES,YES,NO,NO,YES,NO,NO,YES,23.18,0.7111,0.04,0.5402,0.5665,0.467
190,23.19,YES,YES,NO,NO,NO,YES,YES,NO,NO,23.19,0.9965,0.0596,0.6443,-999.0,-999.0
191,24.02,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.02,0.3955,0.0711,0.5025,0.6308,0.3695
192,24.03,NO,YES,NO,NO,NO,NO,NO,NO,YES,24.03,0.5214,0.0487,0.4878,0.2953,0.2921
193,24.07,NO,NO,NO,NO,NO,NO,NO,NO,NO,24.07,0.1247,0.069,0.4814,0.7922,0.2933
194,24.09,NO,YES,YES,NO,NO,NO,NO,NO,NO,24.09,0.4583,0.1265,0.6028,0.4176,0.3852
195,24.1,NO,YES,NO,NO,NO,NO,NO,NO,YES,24.1,0.6933,0.3842,0.7147,0.8893,0.7491
196,24.11,NO,YES,YES,NO,NO,NO,NO,YES,YES,24.11,0.8907,0.7473,0.9057,0.9914,0.9775
197,24.12,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.12,0.7266,0.3941,0.8957,0.6147,0.7127
198,24.13,YES,YES,YES,NO,NO,YES,NO,YES,YES,24.13,0.948,0.5936,0.8762,0.9332,0.9413
199,24.19,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.19,0.6288,0.1941,0.7166,0.6354,0.5839
200,24.21,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.21,0.3416,0.096,0.4638,0.8256,0.4202
201,24.22,NO,YES,NO,NO,NO,NO,NO,NO,YES,24.22,0.4644,0.0902,0.6762,0.7901,0.5113
202,24.23,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.23,0.1427,0.077,0.3521,0.1635,0.1054
203,24.24,NO,YES,NO,NO,NO,NO,NO,NO,YES,24.24,0.5452,0.1153,0.6605,0.9495,0.6261
204,24.25,NO,YES,YES,NO,NO,NO,NO,NO,NO,24.25,0.1514,0.0826,0.602,0.3963,0.2271
205,24.26,NO,YES,YES,NO,NO,NO,NO,NO,NO,24.26,0.2684,0.3372,0.713,0.3034,0.3539
206,24.27,NO,YES,YES,NO,NO,NO,NO,YES,YES,24.27,0.8534,0.2271,0.8865,0.7561,0.7704
207,24.28,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.28,0.2264,0.3681,0.4759,0.6859,0.4058
208,24.29,NO,NO,NO,NO,NO,NO,NO,NO,NO,24.29,0.5049,0.1152,0.6294,0.5657,0.4564
209,24.3,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.3,0.6167,0.5308,0.8477,0.3351,0.5964
210,24.31,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.31,0.6656,0.7078,0.7683,0.6043,0.7134
211,24.32,NO,YES,YES,NO,NO,NO,NO,NO,NO,24.32,0.6083,0.1466,0.8085,0.6078,0.5743
212,24.33,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.33,0.7176,0.6712,0.6688,0.3794,0.6363
213,24.34,NO,YES,NO,NO,NO,NO,NO,NO,NO,24.34,0.6804,0.3572,0.7415,0.7816,0.7012
214,24.35,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.35,0.6451,0.4884,0.7727,0.4206,0.6094
215,24.36,NO,YES,YES,NO,NO,NO,NO,NO,YES,24.36,0.653,0.8749,0.8115,0.725,0.7973
216,25.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,25.0,0.1976,0.1657,0.1228,0.4433,0.1948
217,9800.0,NO,YES,NO,NO,NO,NO,NO,NO,NO,9800.0,-999.0,-999.0,-999.0,-999.0,-999.0
